[ 2025-01-14 17:28:13,611 ] 19 root - INFO - Initiate the data ingestion
[ 2025-01-14 17:28:15,495 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-01-14 17:28:15,495 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-14 17:28:15,496 ] 72 root - INFO - Exporting train and test file path.
[ 2025-01-14 17:28:15,554 ] 81 root - INFO - Exported train and test file path.
[ 2025-01-14 17:28:15,586 ] 25 root - INFO - Data Validation initiated
[ 2025-01-14 17:28:15,690 ] 32 root - INFO - Required number of columns:2
[ 2025-01-14 17:28:15,690 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-14 17:28:15,690 ] 32 root - INFO - Required number of columns:2
[ 2025-01-14 17:28:15,690 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-14 17:28:15,864 ] 31 root - INFO - data Transformation started
[ 2025-01-14 17:28:15,864 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-14 17:28:15,864 ] 65 root - INFO - Starting data transformation
[ 2025-01-14 17:28:15,896 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-14 17:28:15,896 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-14 17:28:15,917 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-14 17:28:15,920 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-14 17:28:15,920 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-14 17:28:15,925 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-14 17:28:15,926 ] 35 root - INFO - data Transformation completed
